Wall time,Step,Value
1657890677.175005,0,0.144780695438385
1657891146.816492,1,0.5213158130645752
1657891609.652418,2,0.738771915435791
1657892072.957099,3,0.835745632648468
1657892535.608431,4,0.8867982625961304
1657893000.074411,5,0.918684184551239
1657893461.588068,6,0.9422807097434998
1657893925.900444,7,0.9584649205207825
1657894388.507429,8,0.9691666960716248
1657894889.665911,9,0.9773245453834534
1657895354.142144,10,0.9796491265296936
1657895815.966895,11,0.9860965013504028
1657896280.138298,12,0.9871052503585815
1657896744.158897,13,0.9903509020805359
1657897210.418022,14,0.991929829120636
