Wall time,Step,Value
1657890677.174023,0,3.3598685264587402
1657891146.815487,1,2.10201096534729
1657891609.651365,2,1.0861858129501343
1657892072.956141,3,0.6102484464645386
1657892535.607422,4,0.3973248600959778
1657893000.071952,5,0.2794387936592102
1657893461.587051,6,0.19766847789287567
1657893925.899425,7,0.1450200080871582
1657894388.506349,8,0.1101389229297638
1657894889.664895,9,0.08147973567247391
1657895354.141089,10,0.06678588688373566
1657895815.965983,11,0.052279405295848846
1657896280.13721,12,0.043695442378520966
1657896744.157935,13,0.03579282388091087
1657897210.417004,14,0.02926480397582054
