Wall time,Step,Value
1663584864.183342,0,2.501107692718506
1663585146.482974,1,0.7616388201713562
1663585427.553847,2,0.41093868017196655
1663585711.480858,3,0.263974130153656
1663585996.889765,4,0.18394622206687927
1663586281.196649,5,0.12648558616638184
1663586559.790344,6,0.09333708882331848
1663586834.078583,7,0.07212907820940018
1663587127.862614,8,0.05362845957279205
1663587410.754768,9,0.042344290763139725
1663587699.044149,10,0.03585824370384216
1663587984.236194,11,0.030751598998904228
1663588261.361738,12,0.026986651122570038
1663588541.948133,13,0.024851785972714424
1663588832.586049,14,0.019642256200313568
